song_key,song_title,n_plays,n_shows,first_played,last_played,album,n_videos
This Year,This Year,809,809,2004-10-04,2026-05-26,The Sunset Tree,130
No Children,No Children,769,769,2002-10-23,2026-05-26,Tallahassee,144
Up the Wolves,Up the Wolves,544,544,2005-03-23,2026-05-26,The Sunset Tree,68
Dance Music,Dance Music,321,321,2004-04-08,2026-05-03,The Sunset Tree,50
You or Your Memory,You or Your Memory,314,314,2005-04-28,2026-05-03,The Sunset Tree,19
Woke Up New,Woke Up New,291,290,2006-06-13,2026-05-03,Get Lonely,34
Love Love Love,Love Love Love,272,271,2004-10-11,2026-04-13,The Sunset Tree,29
The Diaz Brothers,The Diaz Brothers,268,268,2012-01-19,2026-05-24,Transcendental Youth,15
See America Right,See America Right,252,252,2002-10-10,2026-04-21,Tallahassee,25
The Best Ever Death Metal Band in Denton,The Best Ever Death Metal Band in Denton,233,232,2000-09-17,2025-10-04,All Hail West Texas,53
Game Shows Touch Our Lives,Game Shows Touch Our Lives,213,213,2005-06-18,2026-05-15,Tallahassee,15
Cotton,Cotton,203,203,2003-02-06,2026-04-10,We Shall All Be Healed,13
Cry for Judas,Cry for Judas,196,196,2012-07-28,2026-05-24,Transcendental Youth,15
Palmcorder Yajna,Palmcorder Yajna,195,195,2002-10-10,2026-04-14,We Shall All Be Healed,15
Damn These Vampires,Damn These Vampires,183,183,2011-03-24,2026-05-26,All Eternals Deck,13
Hast Thou Considered the Tetrapod,Hast Thou Considered the Tetrapod,181,181,2004-04-08,2026-04-21,The Sunset Tree,21
Jenny,Jenny,180,180,2001-06-23,2026-05-19,All Hail West Texas,24
Heretic Pride (Song),Heretic Pride (Song),180,179,2007-11-29,2026-04-06,Heretic Pride,6
Spent Gladiator 2,Spent Gladiator 2,177,177,2012-03-24,2024-08-04,Transcendental Youth,4
Southwood Plantation Road,Southwood Plantation Road,165,165,2002-11-13,2026-04-06,Tallahassee,12
In the Craters on the Moon,In the Craters on the Moon,159,159,2007-09-20,2026-04-06,Heretic Pride,14
Broom People,Broom People,158,158,2004-04-08,2026-05-26,The Sunset Tree,17
You Were Cool,You Were Cool,155,155,2010-07-31,2026-05-24,Unreleased,33
Wear Black,Wear Black,151,151,2017-05-19,2024-08-09,Goths,11
Amy AKA Spent Gladiator 1,Amy AKA Spent Gladiator 1,151,151,2012-10-09,2026-05-26,Transcendental Youth,15
Wild Sage,Wild Sage,147,147,2006-06-13,2026-04-06,Get Lonely,17
Heel Turn 2,Heel Turn 2,147,147,2015-04-18,2026-04-06,Beat the Champ,13
Going to Georgia,Going to Georgia,147,147,1994-08-18,2024-10-13,Zopilote Machine,14
In Memory of Satan,In Memory of Satan,144,144,2012-01-19,2026-04-19,Transcendental Youth,10
Lion's Teeth,Lion's Teeth,136,136,2004-08-20,2025-10-03,The Sunset Tree,11
San Bernardino,San Bernardino,135,135,2008-02-23,2023-12-08,Heretic Pride,19
Liza Forever Minnelli,Liza Forever Minnelli,133,133,2010-05-16,2024-08-07,All Eternals Deck,7
Sax Rohmer #1,Sax Rohmer #1,132,132,2008-02-23,2026-05-19,Heretic Pride,6
International Small Arms Traffic Blues,International Small Arms Traffic Blues,131,131,2002-11-03,2025-12-14,Tallahassee,7
Song for Dennis Brown,Song for Dennis Brown,131,131,2005-03-23,2026-05-21,The Sunset Tree,6
Younger,Younger,130,130,2018-02-26,2026-05-26,In League with Dragons,2
Ezekiel 7 and the Permanent Efficacy of Grace,Ezekiel 7 and the Permanent Efficacy of Grace,128,128,2009-10-09,2018-09-01,The Life of the World to Come,9
Tallahassee (Song),Tallahassee (Song),127,127,2002-10-04,2026-05-22,Tallahassee,7
Moon Over Goldsboro,Moon Over Goldsboro,126,126,2006-08-21,2026-05-03,Get Lonely,7
Have to Explode,Have to Explode,125,125,2008-03-15,2026-04-16,Tallahassee,5
Color in Your Cheeks,Color in Your Cheeks,123,123,2002-03-07,2026-05-21,All Hail West Texas,12
Foreign Object,Foreign Object,122,122,2015-04-02,2024-10-15,Beat the Champ,9
Southwestern Territory,Southwestern Territory,122,122,2014-06-11,2026-04-21,Beat the Champ,7
Lakeside View Apartments Suite,Lakeside View Apartments Suite,120,120,2012-03-24,2026-05-24,Transcendental Youth,3
Harlem Roulette,Harlem Roulette,120,120,2011-10-28,2026-05-26,Transcendental Youth,4
Maybe Sprout Wings,Maybe Sprout Wings,119,119,2006-08-21,2026-04-16,Get Lonely,10
The Young Thousands,The Young Thousands,118,118,2003-09-26,2026-05-03,We Shall All Be Healed,5
Minnesota,Minnesota,117,117,1996-08-10,2024-12-13,Full Force Galesburg,8
Waylon Jennings Live!,Waylon Jennings Live!,111,111,2018-05-27,2026-04-21,In League with Dragons,3
Your Belgian Things,Your Belgian Things,110,110,2003-02-14,2026-04-19,We Shall All Be Healed,10
Houseguest,Houseguest,109,109,1996-10-29,2012-10-15,Unreleased,19
Get Lonely (Song),Get Lonely (Song),108,107,2006-06-13,2019-11-17,Get Lonely,5
Andrew Eldritch Is Moving Back to Leeds,Andrew Eldritch Is Moving Back to Leeds,100,100,2017-02-22,2026-05-26,Goths,4
1 Samuel 15:23,1 Samuel 15:23,100,100,2009-09-18,2025-11-22,The Life of the World to Come,3
Grendel's Mother,Grendel's Mother,99,99,1994-08-18,2026-05-23,Zopilote Machine,5
Old College Try,Old College Try,96,96,2002-10-09,2023-09-19,Tallahassee,15
Shadow Song,Shadow Song,96,96,2000-02-06,2026-04-05,The Coroner's Gambit,5
Rain in Soho,Rain in Soho,96,96,2017-05-22,2023-08-04,Goths,7
Corsican Mastiff Stride,Corsican Mastiff Stride,95,95,2020-12-04,2026-05-03,Getting Into Knives,0
Transcendental Youth (Song),Transcendental Youth (Song),95,95,2012-01-19,2025-11-22,Transcendental Youth,3
Animal Mask,Animal Mask,94,94,2013-07-26,2026-04-13,Beat the Champ,3
Psalms 40:2,Psalms 40:2,94,94,2009-02-24,2026-04-17,The Life of the World to Come,14
Stabbed to Death Outside San Juan,Stabbed to Death Outside San Juan,91,91,2015-03-30,2024-07-27,Beat the Champ,5
Linda Blair Was Born Innocent,Linda Blair Was Born Innocent,90,90,2003-01-29,2024-08-04,We Shall All Be Healed,3
Never Quite Free,Never Quite Free,89,89,2011-03-25,2021-08-23,All Eternals Deck,4
Let Me Bathe in Demonic Light,Let Me Bathe in Demonic Light,88,88,2021-10-27,2026-05-24,Dark in Here,3
Until I Am Whole,Until I Am Whole,88,88,2012-03-24,2026-05-24,Transcendental Youth,5
Steal Smoked Fish,Steal Smoked Fish,86,86,2009-11-11,2025-12-06,Steal Smoked Fish EP,3
The Slow Parts on Death Metal Albums,The Slow Parts on Death Metal Albums,85,85,2021-08-07,2024-05-24,Dark in Here,2
The Recognition Scene,The Recognition Scene,83,83,1995-01-15,2026-04-21,Sweden,4
New Zion,New Zion,83,83,2008-02-23,2026-05-24,Heretic Pride,1
It Froze Me,It Froze Me,83,83,1996-11-11,2026-04-14,Nothing for Juice,5
